permno,SICCD,NCUSIP,TICKER,COMNAM
10549,,,,
10550,,,,
10551,,,,
10552,,,,
10553,,,,
10554,,,,
10555,,,,
10556,,,,
10557,,,,
10558,,,,
10559,5310,,,ASSOCIATED DRY GOODS CORP
10560,2621,00368010,ABY,ABITIBI-PRICE INC
10561,,,,
10562,,,,
10563,,,,
10564,,,,
10565,,,,
10566,,,,
10568,6711,00378810,ABRI,ABRAMS INDUSTRIES INC
10569,,,,
10570,,,,
10571,,,,
10572,,,,
10573,,,,
10574,,,,
10575,4000,,,ATCHISON TOPEKA & SANTA FE RY CO
10576,6711,90465510,UINS,UNICOM INSURANCE GROUP INC
10577,,,,
10578,7370,02136210,ALTI,ALTAI INC
10579,,,,
10580,,,,
10581,6030,98119410,WCYS,WORCESTER COUNTY INST FOR SVGS
10582,,,,
10584,1311,00422010,ACAD,ACADIA PETROLEUM CORP
10585,,,,
10586,,,,
10587,,,,
10588,,,,
10589,,,,
10590,,,,
10591,4000,,,ATLANTIC COAST LINE RR CO
10592,Z,00429510,ALAR,ACAPULCO Y LOS ARCOS RESTAURANTE
10593,,,,
10594,,,,
10595,,,,
10596,,,,
10597,3570,35254110,FDOS,FRANKLIN COMPUTER CORP
10598,,,,
10599,,,,
10600,,,,
10601,,,,
10602,,,,
10603,,,,
10604,2910,,,ATLANTIC REFNG CO
10605,6311,00429910,ACLE,ACCELERATION CORP
10606,,,,
10607,,,,
10608,,,,
10609,,,,
10610,,,,
10611,,,,
10613,3662,00430210,,ACCELERATORS INC
10614,,,,
10615,,,,
10616,,,,
10617,,,,
10618,,,,
10619,,,,
10620,2890,,,ATLAS POWDER CO
10621,1389,00437710,ACCU,ACCU TEST SYS INC
10622,,,,
10623,,,,
10624,,,,
10625,,,,
10626,,,,
10627,,,,
10628,,,,
10629,,,,
10630,,,,
10631,,,,
10632,,,,
10633,,,,
10634,,,,
10635,,,,
10636,,,,
10637,,,,
10638,,,,
10640,Z,45630810,INUC,INDUSTRIAL NUCLEONICS CORP
10641,,,,
10642,,,,
10643,,,,
10644,,,,
10645,,,,
10646,,,,
10647,5090,,,AUSTIN NICHOLS & CO INC
10648,3724,00440510,,ACE INDUSTRIES INC
10649,,,,
10650,,,,
10651,,,,
10652,,,,
10653,,,,
10654,,,,
10656,Z,00444610,ACET,ACETO CHEMICAL CO INC
10657,,,,
10658,,,,
10659,8010,58391210,MEDM,MED MOBILE INC
10660,,,,
10661,,,,
10662,,,,
10664,1711,00461610,ACMT,ACMAT CORP
10665,,,,
10666,,,,
10667,,,,
10668,,,,
10669,,,,
10670,,,,
10671,3520,,,BALDWIN LIMA HAMILTON CORP
10672,3429,00467110,ACME,ACME GENERAL CORP
10673,,,,
10674,,,,
10675,,,,
10676,,,,
10677,,,,
10678,,,,
10679,,,,
10680,,,,
10681,,,,
10682,,,,
10683,,,,
10684,,,,
10685,,,,
10686,,,,
10687,,,,
10688,,,,
10689,,,,
10690,,,,
10691,,,,
10692,,,,
10693,,,,
10694,,,,
10695,,,,
10696,,,,
10697,,,,
10698,2990,,,BARBER OIL CORP
10699,3728,00489810,ACRO,ACRO ENERGY CORP
10701,,,,
10702,,,,
10703,,,,
10704,,,,
10705,,,,
10706,,,,
10707,,,,
10708,,,,
10709,,,,
10710,,,,
10711,,,,
10712,,,,
10713,,,,
10714,,,,
10715,,,,
10716,,,,
10717,,,,
10718,,,,
10720,7399,00504910,ACTM,ACTMEDIA INC
10721,,,,
10722,,,,
10723,,,,
10724,,,,
10725,,,,
10726,,,,
10727,2190,,,BAYUK CIGARS INC
10727,2121,,BYK,BAYUK CIGARS INC
10728,3949,00508610,ACSH,ACUSHNET CO
10729,,,,
10730,,,,
10731,Z,23808510,,DATAMETRICS CORP
10732,,,,
10733,,,,
10734,,,,
10735,2030,,,BEECH NUT LIFE SAVERS INC
10736,7392,00514010,,AD MAR RESH INC
10737,,,,
10738,,,,
10739,,,,
10740,,,,
10741,3840,17117010,CDYN,CHRONODYNAMICS LTD
10742,,,,
10743,2210,,,BELDING HEMINWAY INC
10744,2751,00514910,,AD PRESS LTD
10745,,,,
10746,3489,17887220,CLGB,CLABIR CORP
10747,,,,
10748,,,,
10749,,,,
10750,,,,
10751,3690,,,BENDIX AVIATION CORP
10752,3693,00531310,ADAC,ADAC LABORATORIES INC
10753,,,,
10754,,,,
10755,,,,
10756,,,,
10757,,,,
10758,,,,
10759,,,,
10760,,,,
10761,,,,
10762,6020,95474410,WNSB,WEST NEWTON SAVINGS BANK
10763,,,,
10764,,,,
10765,,,,
10766,,,,
10767,,,,
10768,,,,
10769,6030,15313710,CEBK,CENTRAL CO OPERATIVE BANK MA
10770,,,,
10771,,,,
10772,,,,
10773,,,,
10774,,,,
10775,8090,42349810,HEMA,HEMACARE CORP
10776,4720,91855310,VTGO,VACATIONS TO GO INC
10777,6710,31946M10,FCNCA,FIRST CITIZENS BANCSHARES INC NC
10779,3573,00532010,ADGE,ADAGE INC
10780,6030,71223610,PBKB,PEOPLES SAVINGS BANK BROCKTON MA
10781,,,,
10782,,,,
10783,,,,
10784,,,,
10785,,,,
10786,3310,,,BETHLEHEM STEEL CORP
10787,2731,00668020,ADSN,ADDISON WESLEY PUBG INC
10788,,,,
10789,2890,45662510,IFGN,INFERGENE COMPANY
10790,,,,
10791,,,,
10792,,,,
10793,,,,
10795,3679,00668810,ADTC,ADDITIVE TECHNOLOGY CORP
10796,,,,
10797,,,,
10798,,,,
10799,,,,
10800,,,,
10801,,,,
10802,,,,
10803,,,,
10804,4810,02528010,ACCT,AMERICAN CREDIT CARD TEL CO
10805,,,,
10806,,,,
10807,3430,,,BRIGGS MFG CO
10808,3573,00669820,ADDC,ADDMASTER CORP
10809,,,,
10810,,,,
10811,,,,
10812,,,,
10813,6150,58501810,MMST,MEDMASTER SYSTEMS INC
10814,,,,
10816,5075,00690110,AFSI,ADVANCED FUEL SYS INC
10817,7370,57790710,MAXM,MAXAM TECHNOLOGIES INC
10818,,,,
10819,,,,
10820,,,,
10821,,,,
10822,,,,
10823,4920,,,BROOKLYN UNION GAS CO
10824,3573,00690210,ADVL,ADVANCED LOGIC SYS INC
10825,,,,
10826,,,,
10827,,,,
10828,,,,
10829,,,,
10830,,,,
10832,4213,00708610,,ADLEY CORP
10833,,,,
10834,,,,
10835,,,,
10836,,,,
10837,,,,
10838,,,,
10839,6030,44041R10,HFIN,HORIZON FINANCIAL SERVICES INC
10840,6210,09354110,BINL,BLINDER INTL ENTRPRS INC
10841,,,,
10842,,,,
10843,,,,
10844,,,,
10845,5710,44432210,HUFK,HUFFMAN KOOS INC
10846,,,,
10847,,,,
10848,,,,
10849,,,,
10850,,,,
10851,,,,
10852,,,,
10853,,,,
10854,,,,
10855,,,,
10856,,,,
10857,,,,
10859,5031,00723510,,ADOBE BRICK & SUP
10860,,,,
10861,,,,
10862,,,,
10863,,,,
10864,,,,
10865,,,,
10866,3140,,,BROWN SHOE INC
10867,3679,00738310,ADVC,ADVANCE CIRCUITS INC
10868,,,,
10869,,,,
10870,,,,
10871,,,,
10872,,,,
10873,,,,
10874,3940,,,BRUNSWICK BALKE COLLENDER CO
